STT,CUS_CIF_NBR,CUS_NM,DTE_OPN_CIF,BRN_OPN_CIF,CUS_GEN,AGE,TINHTRANGHONNHAN,CUS_PHONE,CUS_MAIL,CUS_ADRR,TINHCHATCVHT,TRINHDOHOCVAN,AVG_AMT_3M,CALL_DATE,STATUS_ADV,CUST_BANCASED,SANPHAMBHNTDAMUA,NGAYMUABH,SPDV,PRIORITYFLAG,BRN_MNGT_PRIO,PAYROLLFLAG,DSCTTHEGHINO,DSCTTHETINDUNG,DSCTNOTIENGUI,DSCTCOTIENGUI,DSCTDIGIBANK,AVG_BAL_TA_E12M,AVG_BAL_TM_E12M,AVG_BAL_LN_E12M,SODUTIENGUI,SODUTIETKIEM,DUNOVAY,NHOMNOVCB,MATDT,CHITIEUCHOYTE,CHITIEUCHOGD,CHITIEUCHODULICH,CHITIEUDAUTUCK,LYDOMUABAOHIEM,SCORE,DATIEPCAN,FEEDBACK,NOTE,RMTIEPCAN
468,xxxxxx,BUI NGOC HA,11/9/2021,3375,Nam,17,Có gia đình,xxxxxxx776,xxxxxxxxx@outlook.com,"Hoàn Kiếm,Hà Nội",Cán bộ quản lý sơ cấp,Cao học,6901835,1/12/2023,Không có,Không,FWD Don dau thay doi 3.0,5/31/2020,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P5B,9603,Có,36892368,2347790,4091083685,8526958089,1770927872,16969141,86359537,52346218,60840264,82205657,56005899,1,27/03/2024,2597448,13935436,13977296,6986179,Quan tâm sức khoẻ,66%,Chưa tiếp cận,khác,chưa có,0
469,xxxxxx,VU TRUNG ÐUC,4/5/2020,6565,Nam,59,Có gia đình,xxxxxxx904,xxxxxxxxx@outlook.com,"Ba Đình,Hà Nội",Cán bộ quản lý sơ cấp,Cao đẳng,35952289,11/14/2021,Đồng ý gặp mặt,Có,FWD con vuon xa,8/19/2022,Khách hàng có khoản vay SXKD; Tiền gửi không kỳ hạn; Thẻ tín dụng quốc tế,P6,9603,Có,23332892,197530,25906089887,7911581868,140042225,37799289,13306454,87134015,13775313,59861512,34775274,1,27/03/2024,29725017,67071269,52031881,19297222,Quan tâm gia đình,66%,Đã tiếp cận,khác,chưa có,0
470,xxxxxx,DANG MY UYEN,9/15/2021,8286,Nam,37,Ly dị,xxxxxxx932,xxxxxxxxx@gmail.com,"Hà Đông,Hà Nội",Cán bộ quản lý cao cấp,Đại học,8353049,1/15/2021,Không có,Không,FWD Nang tam vi the,11/18/2021,Khách hàng có khoản vay ô tô; Tiền gửi không kỳ hạn; Thẻ ghi nợ nội địa ,P5A,9603,Có,26816790,1030498,3985699430,27207563560,1274782511,17102893,53928966,17416692,40160906,29737415,90914149,2,27/03/2024,713717,99499060,68408019,66865669,Quan tâm đến cuộc sống tương lai,66%,Chưa tiếp cận,khác,chưa có,0
471,xxxxxx,DO HOANG SA,1/16/2020,6148,Nữ,28,Có gia đình,xxxxxxx494,xxxxxxxxx@outlook.com,"Tây Hồ,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Trung cấp,27764332, ,Không có,Không,FWD Don dau thay doi 3.0,2/17/2021,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P5,9603,Không,37794778,2085677,16778776321,20794981877,107513991,22209712,43327837,61459974,83187892,73786516,49841334,2,27/03/2024,20226854,74056919,8164318,75316447,Quan tâm gia đình,77%,Đã tiếp cận,khác,chưa có,0
472,xxxxxx,DANG QUOC HIEN,12/6/2021,5644,Nữ,54,Độc thân,xxxxxxx741,xxxxxxxxx@gmail.com,"Hà Đông,Hà Nội",Cán bộ quản lý sơ cấp,Cao học,30845225, ,Không có,Không,FWD con vuon xa,7/13/2020,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P3,9603,Không,28982875,2407765,21477761784,15844301261,1196332143,13471674,91933388,54248711,21846346,83390860,8476210,2,27/03/2024,30355638,95127188,28756126,86643142,Quan tâm sức khoẻ,76%,Đã tiếp cận,khác,chưa có,0
473,xxxxxx,DUONG THIEN TAM,3/9/2021,3270,Nữ,29,Độc thân,xxxxxxx639,xxxxxxxxx@outlook.com,"Cầu Giấy,Hà Nội",Cán bộ văn phòng,Cao học,34361146,3/15/2023,Không có,Không,FWD Nang tam vi the,5/12/2021,Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm; Thẻ tín dụng quốc tế; Thẻ ghi nợ nội địa,P5A,9603,Có,38121128,2516135,17992011548,24400408497,1036968817,96894466,90068955,27476889,80997931,61432470,99262325,2,27/03/2024,58253744,59449381,82976336,25128188,Quan tâm đến cuộc sống tương lai,66%,Chưa tiếp cận,khác,chưa có,0
474,xxxxxx,TRUONG GIA HUNG,10/31/2022,1441,Nữ,49,Ly dị,xxxxxxx741,xxxxxxxxx@outlook.com,"Hà Đông,Hà Nội",Cán bộ quản lý trung cấp,Cao đẳng,38021727,4/2/2022,Không có,Không,FWD con vuon xa,5/20/2020,Khách hàng sử dụng autodebit; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P5B,9603,Không,31176221,2483243,19395051057,3635143877,1440994360,72429623,68935728,34168004,41240270,55962050,54662707,2,27/03/2024,62587477,90091158,92861071,97658446,"Quan tâm đầu tư, tài chính",66%,Chưa tiếp cận,khác,chưa có,0
475,xxxxxx,DANG HUONG THUY,8/21/2021,3477,Nam,52,Độc thân,xxxxxxx986,xxxxxxxxx@outlook.com,"Hà Đông,Hà Nội",Cán bộ quản lý cao cấp,Cao đẳng,6102914,8/23/2020,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD con vuon xa,4/21/2023,Khách hàng có khoản vay ô tô; Tiền gửi không kỳ hạn; Thẻ ghi nợ nội địa ,P5A,9603,Không,25818247,250501,23217996830,28509648908,114732199,23742142,8073727,67410917,51461757,60146192,70583695,2,27/03/2024,13830157,76589772,26160759,41103322,Quan tâm sức khoẻ,59%,Đã tiếp cận,khác,chưa có,0
476,xxxxxx,LE QUOC HIEN,4/12/2021,6053,Nữ,39,Ly dị,xxxxxxx647,xxxxxxxxx@outlook.com,"Tây Hồ,Hà Nội",Cán bộ văn phòng,Trung cấp,20290312,11/7/2022,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD con vuon xa,4/4/2020,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,P7,9603,Không,189592,1420157,3218229529,10897933054,852391934,32534719,88169609,51388685,36808523,27314869,30894429,2,27/03/2024,20655630,53670555,43621854,80383092,Quan tâm bảo hiểm,72%,Chưa tiếp cận,khác,chưa có,0
477,xxxxxx,TRAN HIEU DUNG,2/27/2023,9236,Nữ,57,Ly dị,xxxxxxx732,xxxxxxxxx@outlook.com,"Cầu Giấy,Hà Nội",Cán bộ văn phòng,Tốt nghiệp phổ thông,5799737, ,Đồng ý gặp mặt,Có,FWD Nang tam vi the,3/18/2021,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,P1,9603,Có,32610607,2396874,2893833032,20632950537,1048378826,82811009,7825761,82294453,94265013,51923299,79970225,1,27/03/2024,66005955,90518054,75232867,36139831,Quan tâm sức khoẻ,66%,Đã tiếp cận,khác,chưa có,0
478,xxxxxx,NGUYEN PHI PHUONG,8/25/2020,4327,Nam,59,Độc thân,xxxxxxx292,xxxxxxxxx@gmail.com,"Hà Đông,Hà Nội",Cán bộ văn phòng,Đại học,17686655,5/8/2023,Không có,Không,Không có,Không,Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay SXKD,P5B,9603,Không,696728,2516619,18820543852,18191469718,1449060777,96593190,36204045,59379982,73100344,37590840,65022836,2,27/03/2024,34878998,92638267,65351189,97391423,"Quan tâm đầu tư, tài chính",77%,Đã tiếp cận,khác,chưa có,0
479,xxxxxx,LY TRUNG ANH,########,2905,Nam,54,Độc thân,xxxxxxx787,xxxxxxxxx@outlook.com,"Ba Đình,Hà Nội",Cán bộ quản lý cao cấp,Đại học,16970475,5/22/2020,Không có,Không,Không có,Không,Khách hàng có bảo hiểm; Thẻ tín dụng quốc tế; Thẻ ghi nợ quốc tế; Tiền gửi tiết kiệm,P6,9603,Có,32166245,1407509,2935278881,16217412705,346522349,82640023,69989360,12422371,74423217,77593058,19958041,2,27/03/2024,69033424,51656981,25830737,37263690,Quan tâm đến cuộc sống tương lai,77%,Chưa tiếp cận,khác,chưa có,0
480,xxxxxx,HO TRUNG NGHIA,6/23/2022,375,Nam,36,Độc thân,xxxxxxx708,xxxxxxxxx@outlook.com,"Hoàn Kiếm,Hà Nội",Cán bộ văn phòng,Đại học,33001431,6/11/2020,Đồng ý gặp mặt,Có,Không có,Không,Khách hàng có bảo hiểm; Thẻ tín dụng quốc tế; Thẻ ghi nợ quốc tế; Tiền gửi tiết kiệm,P2,9603,Không,23087853,1449986,29456704357,8495587929,1611531874,46689813,10928184,89268232,96155922,22522742,33264468,2,27/03/2024,93297124,47442858,26013402,51044655,Quan tâm bảo hiểm,66%,Đã tiếp cận,khác,chưa có,0
481,xxxxxx,DANG AI LINH,8/18/2021,6802,Nữ,55,Có gia đình,xxxxxxx016,xxxxxxxxx@outlook.com,"Tây Hồ,Hà Nội",Cán bộ quản lý cao cấp,Cao đẳng,32516718,1/6/2023,Không có,Không,FWD Nang tam vi the,10/30/2020,Khách hàng có thẻ tín dụng quốc tế; Tiền gửi không kỳ hạn,P3,9603,Có,8659243,841519,2945541628,19801947544,1096961434,59877350,25866552,68801426,46238349,5401441,57996982,2,27/03/2024,45330839,41483085,24384300,15408553,Quan tâm bảo hiểm,75%,Đã tiếp cận,khác,chưa có,0
482,xxxxxx,HUYNH DAI TRANG,########,4253,Nữ,45,Ly dị,xxxxxxx265,xxxxxxxxx@outlook.com,"Cầu Giấy,Hà Nội",Cán bộ quản lý trung cấp,Đại học,35791947,3/5/2023,Đồng ý gặp mặt,Có,FWD con vuon xa,8/19/2021,Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay SXKD,P4A,9603,Không,15411909,2125236,1887845019,22911521076,858098138,48201132,47204476,53898825,43078996,21548157,25805286,2,27/03/2024,81639773,83563645,52436046,6043070,"Quan tâm đầu tư, tài chính",59%,Chưa tiếp cận,khác,chưa có,0
483,xxxxxx,TRAN MINH DANH,10/12/2021,8463,Nữ,28,Ly dị,xxxxxxx912,xxxxxxxxx@yahoo.com,"Tây Hồ,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Trung cấp,5139689,7/27/2022,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD Nang tam vi the,5/14/2021,Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay SXKD,P4,9603,Có,21252206,2427978,19291417761,24958071647,1143399961,58333050,45779962,82206018,20386741,94134245,35763667,2,27/03/2024,21923850,39972205,98561695,22759559,Quan tâm bảo hiểm,63%,Đã tiếp cận,khác,chưa có,0
484,xxxxxx,TRUONG NAM THANH,5/26/2023,5681,Nam,30,Có gia đình,xxxxxxx607,xxxxxxxxx@yahoo.com,"Tây Hồ,Hà Nội",Cán bộ văn phòng,Trung cấp,32935233,11/16/2022,Khách hàng từ chối – khách hàng không có nhu cầu,Có,Không có,Không,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P4A,9603,Không,38915175,2007473,7682303838,23577922084,1297431627,11787075,59453768,99387092,48125088,78624612,33910564,2,27/03/2024,14659794,17237956,56201082,17217629,Quan tâm sức khoẻ,68%,Đã tiếp cận,khác,chưa có,0
485,xxxxxx,DUONG HUY PHONG,8/31/2022,1439,Nữ,24,Có gia đình,xxxxxxx585,xxxxxxxxx@gmail.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý cao cấp,Trung cấp,32201059, ,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD Don dau thay doi 3.0,5/7/2021,Khách hàng có khoản vay SXKD; Tiền gửi không kỳ hạn; Thẻ tín dụng quốc tế,P3,9603,Có,13828564,1103697,11097182959,28923035085,764889639,14003119,70276835,97919448,10409449,4105610,3550213,2,27/03/2024,5712145,84195661,85055824,15869134,Quan tâm đến cuộc sống tương lai,64%,Đã tiếp cận,khác,chưa có,0
486,xxxxxx,PHAM HUONG THIEN,11/12/2022,4655,Nam,58,Ly dị,xxxxxxx700,xxxxxxxxx@gmail.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý cao cấp,Cao học,39816424,1/16/2023,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD Nang tam vi the,9/28/2022,Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay SXKD,P4B,9603,Không,13295158,432836,29548447045,21131735288,1366320015,61184673,65454759,93468224,4243311,53611818,99058520,2,27/03/2024,27537530,95704663,2732983,62220309,Quan tâm sức khoẻ,53%,Đã tiếp cận,khác,chưa có,0
487,xxxxxx,PHAN PHUONG HIEN,7/1/2022,612,Nữ,22,Ly dị,xxxxxxx537,xxxxxxxxx@outlook.com,"Hai Bà Trưng,Hà Nội",Cán bộ quản lý trung cấp,Đại học,13686727,3/27/2022,Đồng ý gặp mặt,Có,FWD con vuon xa,2/20/2022,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P6,9603,Không,7394390,511926,21133284019,10435107877,1036774538,83388342,45028318,56355760,54339937,91020572,10988952,2,27/03/2024,72089073,26250109,9885606,11892312,Quan tâm bảo hiểm,62%,Đã tiếp cận,khác,chưa có,0
488,xxxxxx,PHAM NGOC LE,########,6219,Nam,20,Ly dị,xxxxxxx510,xxxxxxxxx@outlook.com,"Thanh Xuân,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Cao học,15032468,7/16/2023,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD con vuon xa,1/30/2020,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,P3,9603,Không,34244585,2788689,8244936089,4602441679,829141921,38498590,39793629,73890091,16619570,22957025,85580478,1,27/03/2024,53187761,68030474,83288946,99296026,Quan tâm gia đình,54%,Đã tiếp cận,khác,chưa có,0
489,xxxxxx,NGUYEN GIA CAN,10/8/2023,3966,Nữ,53,Có gia đình,xxxxxxx734,xxxxxxxxx@yahoo.com,"Hai Bà Trưng,Hà Nội",Cán bộ quản lý trung cấp,Đại học,8798209, ,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD con vuon xa,4/19/2023,Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay SXKD,P1,9603,Không,4604945,214810,18446336270,24690983696,241325515,5258470,92462932,90484782,6266196,86919686,71362093,1,27/03/2024,12165371,24665343,60759670,76887604,Quan tâm đến cuộc sống tương lai,69%,Đã tiếp cận,khác,chưa có,0
490,xxxxxx,BUI KIM THY,9/17/2020,2130,Nam,48,Ly dị,xxxxxxx311,xxxxxxxxx@outlook.com,"Tây Hồ,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Cao đẳng,5077022,7/3/2021,Đồng ý gặp mặt,Có,FWD Don dau thay doi 3.0,4/29/2022,Khách hàng có khoản vay ô tô; Tiền gửi không kỳ hạn; Thẻ ghi nợ nội địa ,P7,9603,Có,35007148,1954079,877790584,16603728378,407482453,9043486,51712172,82887290,33820903,28597276,78946957,1,27/03/2024,23423077,38782601,30865693,20820690,"Quan tâm đầu tư, tài chính",74%,Chưa tiếp cận,khác,chưa có,0
491,xxxxxx,DOAN BA KY,5/12/2023,7710,Nam,32,Ly dị,xxxxxxx407,xxxxxxxxx@outlook.com,"Ba Đình,Hà Nội",Cán bộ quản lý trung cấp,Đại học,38402192,5/17/2022,Không có,Không,FWD con vuon xa,9/9/2021,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,P2,9603,Có,26461755,2829697,24298340964,22822904202,1984069867,21976116,39580768,35254180,3512173,88906416,95983987,2,27/03/2024,66714650,56394783,10667022,43772946,Quan tâm bảo hiểm,75%,Đã tiếp cận,khác,chưa có,0
492,xxxxxx,LE GIAO KIEU,10/27/2022,3198,Nữ,50,Ly dị,xxxxxxx449,xxxxxxxxx@outlook.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý trung cấp,Cao đẳng,10130734,12/4/2023,Khách hàng từ chối – khách hàng không có nhu cầu,Có,Không có,Không,Khách hàng có khoản vay ô tô; Tiền gửi không kỳ hạn; Thẻ ghi nợ nội địa ,P3,9603,Có,27222931,2432513,20053368694,12857166944,596907826,88359436,61245185,39765114,78986417,79874202,81153566,1,27/03/2024,60492233,9706627,57133659,76245142,Quan tâm gia đình,56%,Đã tiếp cận,khác,chưa có,0
493,xxxxxx,TRAN TON LE,9/17/2021,7763,Nữ,32,Ly dị,xxxxxxx696,xxxxxxxxx@yahoo.com,"Ba Đình,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Đại học,19671890,4/1/2022,Không có,Không,FWD Don dau thay doi 3.0,6/12/2023,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,P4,9603,Có,24340423,1570757,6170047735,19883120769,249966551,4839639,24757278,35402844,2228576,61706312,19141078,2,27/03/2024,67849215,70242374,71230446,82219617,Quan tâm gia đình,66%,Đã tiếp cận,khác,chưa có,0
494,xxxxxx,DUONG DA LAN,5/23/2023,7059,Nữ,30,Độc thân,xxxxxxx875,xxxxxxxxx@gmail.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý trung cấp,Cao học,9191507,1/10/2021,Đồng ý gặp mặt,Có,Không có,Không,Khách hàng có khoản vay SXKD; Tiền gửi không kỳ hạn; Thẻ tín dụng quốc tế,P4A,9603,Không,16665103,1695216,7862918942,14191473112,515318487,10756517,68253623,8652043,65104401,1732223,35721517,2,27/03/2024,48184918,84926285,14550353,41607659,Quan tâm gia đình,66%,Chưa tiếp cận,khác,chưa có,0
495,xxxxxx,HUYNH KIEU NGA,5/31/2023,4603,Nữ,47,Ly dị,xxxxxxx668,xxxxxxxxx@outlook.com,"Hoàn Kiếm,Hà Nội",Cán bộ quản lý trung cấp,Đại học,19422897,10/18/2022,Không có,Không,FWD Don dau thay doi 3.0,4/3/2021,Khách hàng có thẻ tín dụng quốc tế; Tiền gửi không kỳ hạn,P5A,9603,Không,23906063,886196,22577275980,11244315830,1137111433,20694270,82293671,68119981,3730247,6519839,22681390,2,27/03/2024,50964191,7245487,53722760,94636068,"Quan tâm đầu tư, tài chính",70%,Chưa tiếp cận,khác,chưa có,0
496,xxxxxx,HO XUAN HOA,4/5/2023,4936,Nam,47,Ly dị,xxxxxxx849,xxxxxxxxx@gmail.com,"Hoàn Kiếm,Hà Nội",Cán bộ quản lý cao cấp,Đại học,10826158,2/25/2021,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD Nang tam vi the,7/26/2020,Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm; Thẻ tín dụng quốc tế; Thẻ ghi nợ nội địa,Không có,Không có,Có,4607626,1405433,25615631922,3251657542,588202700,1893108,2561845,37782366,94889168,62318268,48647059,2,27/03/2024,93481907,50848195,65474102,92794272,Quan tâm bảo hiểm,77%,Đã tiếp cận,khác,chưa có,0
497,xxxxxx,LE DAN THANH,2/12/2020,1047,Nữ,28,Ly dị,xxxxxxx049,xxxxxxxxx@yahoo.com,"Thanh Xuân,Hà Nội",Cán bộ văn phòng,Cao học,13534201, ,Đồng ý gặp mặt,Có,Không có,Không,Khách hàng có khoản vay SXKD; Tiền gửi không kỳ hạn; Thẻ tín dụng quốc tế,Không có,Không có,Không,24737600,49932,3394270854,26444983884,469471054,33166243,87951869,3412654,7032690,847219,46406134,2,27/03/2024,12713278,38792896,31364109,21335849,"Quan tâm đầu tư, tài chính",77%,Chưa tiếp cận,khác,chưa có,0
498,xxxxxx,VO KHANH ÐAN,3/24/2020,9158,Nữ,28,Độc thân,xxxxxxx444,xxxxxxxxx@yahoo.com,"Cầu Giấy,Hà Nội",Cán bộ quản lý sơ cấp,Tốt nghiệp phổ thông,34289438,8/13/2023,Khách hàng từ chối – khách hàng không có nhu cầu,Có,Không có,Không,Khách hàng sử dụng autodebit; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P1,9603,Có,21285345,1196407,9108556191,10981772307,1389747721,7397692,759974,74436853,87065639,31269586,47100814,2,27/03/2024,61625886,86319952,33755429,53053592,Quan tâm gia đình,50%,Đã tiếp cận,khác,chưa có,0
499,xxxxxx,NGUYEN DONG NGHI,4/1/2023,7221,Nam,25,Độc thân,xxxxxxx952,xxxxxxxxx@yahoo.com,"Cầu Giấy,Hà Nội",Cán bộ văn phòng,Cao đẳng,12560657,5/28/2022,Đồng ý gặp mặt,Có,FWD Don dau thay doi 3.0,3/6/2021,Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm; Thẻ tín dụng quốc tế; Thẻ ghi nợ nội địa,P5B,9603,Có,22070342,138379,19762287424,6543350371,643625144,93397826,87231116,453097,46083417,26748888,20497300,2,27/03/2024,92548581,1756267,43111381,25498045,Quan tâm gia đình,65%,Chưa tiếp cận,khác,chưa có,0
500,xxxxxx,HOANG NGOC NHI,7/8/2020,6921,Nam,25,Độc thân,xxxxxxx728,xxxxxxxxx@yahoo.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý sơ cấp,Cao học,35577873, ,Đồng ý gặp mặt,Có,Không có,Không,Khách hàng có thẻ tín dụng quốc tế; Tiền gửi không kỳ hạn,P4,9603,Không,31375922,2781212,28835736442,12991436764,1316933922,10361524,40222885,26080445,95213385,29015620,24561682,1,27/03/2024,40398158,88206318,59017744,29016020,Quan tâm gia đình,69%,Chưa tiếp cận,khác,chưa có,0
501,xxxxxx,LY TUYET HONG,8/10/2021,6150,Nam,36,Ly dị,xxxxxxx353,xxxxxxxxx@gmail.com,"Cầu Giấy,Hà Nội",Cán bộ quản lý sơ cấp,Cao đẳng,32297702,10/18/2020,Đồng ý gặp mặt,Có,FWD Nang tam vi the,6/17/2020,Khách hàng sử dụng autodebit; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P4B,9603,Không,19530118,1985051,4338616944,9425671364,1642143104,64288704,56421394,79132356,98292743,94947004,91052313,2,27/03/2024,1426496,98739222,47796354,53829661,Quan tâm đến cuộc sống tương lai,66%,Chưa tiếp cận,khác,chưa có,0
502,xxxxxx,PHAM KIEN CUONG,8/20/2021,4638,Nam,18,Ly dị,xxxxxxx529,xxxxxxxxx@gmail.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý trung cấp,Trung cấp,5687477,5/13/2022,Đồng ý gặp mặt,Có,FWD con vuon xa,12/18/2023,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P4,9603,Không,6524244,1264366,12460949313,22857998299,935491198,59334566,23171664,41563742,53103573,71826888,44610500,1,27/03/2024,97095356,86072029,12283709,9289486,Quan tâm bảo hiểm,75%,Chưa tiếp cận,khác,chưa có,0
503,xxxxxx,HO NGUYET UYEN,########,6471,Nam,54,Độc thân,xxxxxxx508,xxxxxxxxx@yahoo.com,"Ba Đình,Hà Nội",Cán bộ văn phòng,Trung cấp,26866790,8/13/2021,Không có,Không,FWD Nang tam vi the,8/9/2021,Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay SXKD,P4A,9603,Không,13834838,2111666,1164499140,7882351823,908177829,29497493,70682195,67606109,35544410,21606034,33209744,2,27/03/2024,64232406,86536812,12854288,6295453,Quan tâm sức khoẻ,66%,Đã tiếp cận,khác,chưa có,0
504,xxxxxx,TRAN THUY DU,3/24/2020,4255,Nam,26,Ly dị,xxxxxxx211,xxxxxxxxx@outlook.com,"Ba Đình,Hà Nội",Cán bộ quản lý sơ cấp,Đại học,37710454,8/25/2020,Khách hàng từ chối – khách hàng không có nhu cầu,Có,Không có,Không,Khách hàng sử dụng autodebit; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P4A,9603,Có,8163334,1507524,8841813204,13286474365,984644103,68506844,89629093,95826705,85590019,46950296,90064029,2,27/03/2024,4318069,3947970,76067679,67466517,Quan tâm gia đình,70%,Chưa tiếp cận,khác,chưa có,0
505,xxxxxx,NGO HOAN VU,10/27/2023,9496,Nữ,34,Độc thân,xxxxxxx422,xxxxxxxxx@gmail.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý trung cấp,Tốt nghiệp phổ thông,28252814,6/8/2021,Không có,Không,FWD con vuon xa,10/25/2023,Khách hàng có bảo hiểm; Thẻ tín dụng quốc tế; Thẻ ghi nợ quốc tế; Tiền gửi tiết kiệm,Không có,Không có,Không,28329435,707733,23725277621,28280526962,920603652,47768679,32690514,2595369,72337257,87790695,67995672,2,27/03/2024,97343986,87883051,22042918,2034857,Quan tâm sức khoẻ,57%,Đã tiếp cận,khác,chưa có,0
506,xxxxxx,HO HUYEN THOAI,2/26/2021,3621,Nam,34,Có gia đình,xxxxxxx621,xxxxxxxxx@gmail.com,"Thanh Xuân,Hà Nội",Cán bộ văn phòng,Trung cấp,24551915,10/16/2023,Đồng ý gặp mặt,Có,FWD Don dau thay doi 3.0,4/9/2021,Khách hàng có khoản vay SXKD; Tiền gửi không kỳ hạn; Thẻ tín dụng quốc tế,P1,9603,Không,21216349,2492156,24879975584,499483870,1252036441,70584725,99035230,18750143,44937243,93072912,9624890,2,27/03/2024,34813900,43238284,27449379,85748688,Quan tâm gia đình,66%,Chưa tiếp cận,khác,chưa có,0
507,xxxxxx,DANG HUU TAN,1/3/2022,4243,Nam,20,Ly dị,xxxxxxx780,xxxxxxxxx@outlook.com,"Ba Đình,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Tốt nghiệp phổ thông,8344373,9/3/2023,Khách hàng từ chối – khách hàng không có nhu cầu,Có,Không có,Không,Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay SXKD,P2,9603,Không,21414753,1899564,11514061023,15220483928,1924234549,3267775,71710273,89764971,54460394,35417376,41190379,2,27/03/2024,93348143,29807849,34945988,54180805,Quan tâm bảo hiểm,74%,Chưa tiếp cận,khác,chưa có,0
508,xxxxxx,BUI THE LAM,6/6/2023,7961,Nữ,39,Có gia đình,xxxxxxx478,xxxxxxxxx@yahoo.com,"Cầu Giấy,Hà Nội",Cán bộ quản lý sơ cấp,Trung cấp,25670750,12/24/2021,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD Don dau thay doi 3.0,12/6/2021,Khách hàng sử dụng autodebit; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P7,9603,Không,38584958,1668359,7585002737,2463394034,612998892,67527370,40997468,3517877,11478643,9990417,94133613,2,27/03/2024,16121864,58923750,78486196,53507486,Quan tâm sức khoẻ,76%,Đã tiếp cận,khác,chưa có,0
509,xxxxxx,VO QUYNH SA,########,6960,Nữ,30,Có gia đình,xxxxxxx929,xxxxxxxxx@outlook.com,"Hoàn Kiếm,Hà Nội",Cán bộ văn phòng,Trung cấp,13235941,7/10/2020,Đồng ý gặp mặt,Có,FWD Nang tam vi the,8/28/2023,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P3,9603,Không,34089545,2400284,20304112938,23059465266,1330039216,24733968,14132631,89537444,15290246,36256554,6205648,2,27/03/2024,6765262,69123053,86705395,18640369,Quan tâm đến cuộc sống tương lai,54%,Đã tiếp cận,khác,chưa có,0
